Date,Oil  ,Rtail
201506,-3.74,-0.5
201507,-8.95,5.84
201508,-3.69,-5.42
201509,-5.66,-1.72
201510,12.54,4.53
201511,1.06,0.59
201512,-9.76,0.83
201601,-4.64,-4.47
201602,-2.96,-0.43
201603,10.87,5.99
201604,9.09,-0.34
201605,-0.95,1.22
201606,2.65,0.76
201607,-2.87,3.85
201608,1.43,-1.69
201609,2.94,-0.14
201610,-2.93,-3.55
201611,9.52,2.88
201612,2.25,-0.95
201701,-4.33,0.92
201702,-2.33,2.85
201703,-1.24,0.82
201704,-2.79,3.4
201705,-3.47,0.54
201706,-0.19,-2.41
201707,2.02,0.98
201708,-5.23,-1.76
201709,11.26,2.76
201710,0.22,3.3
201711,2.89,9.42
201712,5.04,2.54
201801,2.85,11.56
201802,-11.04,-4.72
201803,3.1,-3.25
201804,10.31,4.29
201805,3.44,1.36
201806,0.53,4.36
201807,1.02,3.55
201808,-2.9,9.16
201809,3.55,0.61
201810,-12.1,-10.26
201811,-2.36,1.59
201812,-13.27,-9.2
201901,10.45,8.84
201902,2.44,-0.08
201903,2.04,3.86
201904,0.06,4.92
201905,-11.91,-7.03
201906,8.91,7.17
201907,-2.64,0.44
201908,-8.86,-0.12
201909,3.79,0.96
201910,-2.06,1.65
201911,1.26,2.06
201912,6.35,1.21
202001,-11.99,1.17
202002,-15.44,-6.16
202003,-34.8,-4.43
202004,32.87,18.64
202005,0.55,4.26
202006,-0.32,5.44
