Date,Drugs,Oil  ,RlEst,Fin  ,Rtail
201506,-0.23,-3.74,-2.99,-0.63,-0.5
201507,3.58,-8.95,1.52,-0.21,5.84
201508,-9.02,-3.69,-11.08,-8.48,-5.42
201509,-7.38,-5.66,-3.06,-4.82,-1.72
201510,8.81,12.54,10.61,7.83,4.53
201511,0.38,1.06,-1.16,3.26,0.59
201512,0.56,-9.76,-6.17,-5.28,0.83
201601,-10.73,-4.64,-13.86,-11.03,-4.47
201602,-1.44,-2.96,-4.85,-1.92,-0.43
201603,2.35,10.87,11.71,6.95,5.99
201604,2.8,9.09,-1.35,2.43,-0.34
201605,2.83,-0.95,-0.69,3.49,1.22
201606,-0.92,2.65,-5.6,-6.83,0.76
201607,6.73,-2.87,5.69,7.18,3.85
201608,-3.69,1.43,1.12,5.31,-1.69
201609,0.05,2.94,-3.27,-1.19,-0.14
201610,-7.51,-2.93,-6.48,-0.84,-3.55
201611,2.63,9.52,8.62,15.17,2.88
201612,0.6,2.25,4.64,3.45,-0.95
201701,1.24,-4.33,-0.2,1.37,0.92
201702,7.67,-2.33,8.67,3.79,2.85
201703,-0.58,-1.24,-0.05,-1.97,0.82
201704,0.42,-2.79,5.17,-0.22,3.4
201705,-0.92,-3.47,0.65,-1.33,0.54
201706,5.83,-0.19,3.38,6.37,-2.41
201707,1.41,2.02,1.89,3.21,0.98
201708,2.65,-5.23,-2.35,-1.91,-1.76
201709,1.97,11.26,3.01,6.53,2.76
201710,-3.62,0.22,2.87,1.92,3.3
201711,1.89,2.89,4.8,5.66,9.42
201712,0.37,5.04,0.17,2.01,2.54
201801,5.57,2.85,4.65,5.02,11.56
201802,-4.12,-11.04,-2.85,-1.45,-4.72
201803,-2.67,3.1,2.97,-1.37,-3.25
201804,-0.98,10.31,-1.73,-1.52,4.29
201805,1.06,3.44,-1.78,0.4,1.36
201806,1.43,0.53,-0.98,-3.29,4.36
201807,6.85,1.02,2.89,2.49,3.55
201808,3.94,-2.9,-4.03,0.03,9.16
201809,1.7,3.55,-4.86,-3.4,0.61
201810,-8.23,-12.1,-12.21,-4.56,-10.26
201811,6.73,-2.36,6.82,0.09,1.59
201812,-8.05,-13.27,-12.18,-8.76,-9.2
201901,4.13,10.45,15.73,8.06,8.84
201902,3.04,2.44,5.6,2.77,-0.08
201903,0.49,2.04,-3.7,-2.96,3.86
201904,-3.16,0.06,4.88,9.08,4.92
201905,-3.9,-11.91,-13.37,-7,-7.03
201906,6.56,8.91,11.33,6.34,7.17
201907,-3.25,-2.64,3.51,2.34,0.44
201908,-0.54,-8.86,-3.73,-3.73,-0.12
201909,-0.46,3.79,2.91,2.48,0.96
201910,5.29,-2.06,2.88,0.81,1.65
201911,5.47,1.26,7.84,7.1,2.06
201912,3.95,6.35,4.66,0.73,1.21
202001,-2.42,-11.99,-1.4,2.72,1.17
202002,-4.74,-15.44,-9.83,-10.53,-6.16
202003,-2.47,-34.8,-34.8,-16.95,-4.43
202004,13.09,32.87,13.31,13.83,18.64
202005,3.66,0.55,6.38,5.92,4.26
202006,-1.57,-0.32,4.35,0.6,5.44
