Date,Guns ,BusSv,Chips,LabEq,Rtail
201506,-0.86,-1.84,-5.91,-0.61,-0.5
201507,9.16,5.26,-2.72,0.95,5.84
201508,-1.69,-5.4,-5.53,-7.6,-5.42
201509,1.45,-1.48,-0.82,-4.79,-1.72
201510,6.41,11.42,8.88,7.56,4.53
201511,0.01,2.11,0.23,5.24,0.59
201512,-0.33,-1.07,-5.9,0.03,0.83
201601,-2.18,-5,-7.03,-6.79,-4.47
201602,2.95,-2.42,0.62,0.16,-0.43
201603,2.84,7.88,9.33,9.05,5.99
201604,3.45,-2.49,-7.89,-0.75,-0.34
201605,2.59,4.7,6.48,3.8,1.22
201606,4.36,-2.14,-1.43,-1.17,0.76
201607,2.32,7.32,8.8,5.23,3.85
201608,-4.53,1.27,3.02,-0.21,-1.69
201609,-1.17,0.79,4.65,2.97,-0.14
201610,1.83,-0.56,-1.11,-6.51,-3.55
201611,8.22,-0.29,2.53,3.28,2.88
201612,-5.38,-0.19,2.96,1.27,-0.95
201701,-0.06,5.65,2.75,6.2,0.92
201702,5.57,3.34,7.1,4.98,2.85
201703,0.84,1.78,3.46,0.99,0.82
201704,1.04,3.93,-0.27,6.21,3.4
201705,4.64,3.8,6.51,3.71,0.54
201706,-1.21,-0.71,-4.35,-0.63,-2.41
201707,4.79,3.98,3.85,1.72,0.98
201708,4.6,1.39,5.72,4.42,-1.76
201709,3.29,0.6,-0.38,3.24,2.76
201710,-0.39,6.22,8.94,4.56,3.3
201711,3.3,0.06,2.3,1.52,9.42
201712,0.5,0.47,-1.33,-2.01,2.54
201801,8.85,9.29,3.68,8.07,11.56
201802,0.05,-1.66,2.72,-4.23,-4.72
201803,-3.14,-3.38,-3.28,-0.72,-3.25
201804,-4.17,1.2,-2.93,-3.47,4.29
201805,0.4,5.93,10.91,4.05,1.36
201806,-5.66,1.06,-3.08,0.33,4.36
201807,9.86,1.9,2.31,8.97,3.55
201808,-0.29,5.34,10.88,3.98,9.16
201809,7.2,-0.41,-0.54,0.51,0.61
201810,-14.46,-9.29,-7.76,-9.75,-10.26
201811,1.41,1.24,-8.59,6.26,1.59
201812,-11.78,-7.62,-8.91,-10.28,-9.2
201901,10.35,11.1,6.3,9.67,8.84
201902,6.83,4.54,6.8,7.75,-0.08
201903,-3.15,3.09,5.27,2.94,3.86
201904,10.58,6.34,6.3,2.45,4.92
201905,2.25,-5.95,-13.29,-7.61,-7.03
201906,7.22,5.72,12.29,11.66,7.17
201907,-0.2,3.62,5.53,-4.6,0.44
201908,5.64,-2.13,-1.93,-1.3,-0.12
201909,1.2,-1.04,4.75,3.66,0.96
201910,-3.79,1.94,7.53,1.5,1.65
201911,5.52,5.07,5.96,4.97,2.06
201912,-0.31,1.77,7.36,3.73,1.21
202001,9.71,4.9,2.31,-3.79,1.17
202002,-12.11,-5.53,-8.92,-7.63,-6.16
202003,-8.42,-11.36,-8.93,-9.66,-4.43
202004,13.71,16.17,14.81,15.05,18.64
202005,1.03,7.96,7.86,8.06,4.26
202006,-3.84,5.19,9.09,1.94,5.44
