Date,Oil  ,Fin  ,Rtail
201506,-3.74,-0.63,-0.5
201507,-8.95,-0.21,5.84
201508,-3.69,-8.48,-5.42
201509,-5.66,-4.82,-1.72
201510,12.54,7.83,4.53
201511,1.06,3.26,0.59
201512,-9.76,-5.28,0.83
201601,-4.64,-11.03,-4.47
201602,-2.96,-1.92,-0.43
201603,10.87,6.95,5.99
201604,9.09,2.43,-0.34
201605,-0.95,3.49,1.22
201606,2.65,-6.83,0.76
201607,-2.87,7.18,3.85
201608,1.43,5.31,-1.69
201609,2.94,-1.19,-0.14
201610,-2.93,-0.84,-3.55
201611,9.52,15.17,2.88
201612,2.25,3.45,-0.95
201701,-4.33,1.37,0.92
201702,-2.33,3.79,2.85
201703,-1.24,-1.97,0.82
201704,-2.79,-0.22,3.4
201705,-3.47,-1.33,0.54
201706,-0.19,6.37,-2.41
201707,2.02,3.21,0.98
201708,-5.23,-1.91,-1.76
201709,11.26,6.53,2.76
201710,0.22,1.92,3.3
201711,2.89,5.66,9.42
201712,5.04,2.01,2.54
201801,2.85,5.02,11.56
201802,-11.04,-1.45,-4.72
201803,3.1,-1.37,-3.25
201804,10.31,-1.52,4.29
201805,3.44,0.4,1.36
201806,0.53,-3.29,4.36
201807,1.02,2.49,3.55
201808,-2.9,0.03,9.16
201809,3.55,-3.4,0.61
201810,-12.1,-4.56,-10.26
201811,-2.36,0.09,1.59
201812,-13.27,-8.76,-9.2
201901,10.45,8.06,8.84
201902,2.44,2.77,-0.08
201903,2.04,-2.96,3.86
201904,0.06,9.08,4.92
201905,-11.91,-7,-7.03
201906,8.91,6.34,7.17
201907,-2.64,2.34,0.44
201908,-8.86,-3.73,-0.12
201909,3.79,2.48,0.96
201910,-2.06,0.81,1.65
201911,1.26,7.1,2.06
201912,6.35,0.73,1.21
202001,-11.99,2.72,1.17
202002,-15.44,-10.53,-6.16
202003,-34.8,-16.95,-4.43
202004,32.87,13.83,18.64
202005,0.55,5.92,4.26
202006,-0.32,0.6,5.44
