Date,Oil  ,RlEst,Rtail
201506,-3.74,-2.99,-0.5
201507,-8.95,1.52,5.84
201508,-3.69,-11.08,-5.42
201509,-5.66,-3.06,-1.72
201510,12.54,10.61,4.53
201511,1.06,-1.16,0.59
201512,-9.76,-6.17,0.83
201601,-4.64,-13.86,-4.47
201602,-2.96,-4.85,-0.43
201603,10.87,11.71,5.99
201604,9.09,-1.35,-0.34
201605,-0.95,-0.69,1.22
201606,2.65,-5.6,0.76
201607,-2.87,5.69,3.85
201608,1.43,1.12,-1.69
201609,2.94,-3.27,-0.14
201610,-2.93,-6.48,-3.55
201611,9.52,8.62,2.88
201612,2.25,4.64,-0.95
201701,-4.33,-0.2,0.92
201702,-2.33,8.67,2.85
201703,-1.24,-0.05,0.82
201704,-2.79,5.17,3.4
201705,-3.47,0.65,0.54
201706,-0.19,3.38,-2.41
201707,2.02,1.89,0.98
201708,-5.23,-2.35,-1.76
201709,11.26,3.01,2.76
201710,0.22,2.87,3.3
201711,2.89,4.8,9.42
201712,5.04,0.17,2.54
201801,2.85,4.65,11.56
201802,-11.04,-2.85,-4.72
201803,3.1,2.97,-3.25
201804,10.31,-1.73,4.29
201805,3.44,-1.78,1.36
201806,0.53,-0.98,4.36
201807,1.02,2.89,3.55
201808,-2.9,-4.03,9.16
201809,3.55,-4.86,0.61
201810,-12.1,-12.21,-10.26
201811,-2.36,6.82,1.59
201812,-13.27,-12.18,-9.2
201901,10.45,15.73,8.84
201902,2.44,5.6,-0.08
201903,2.04,-3.7,3.86
201904,0.06,4.88,4.92
201905,-11.91,-13.37,-7.03
201906,8.91,11.33,7.17
201907,-2.64,3.51,0.44
201908,-8.86,-3.73,-0.12
201909,3.79,2.91,0.96
201910,-2.06,2.88,1.65
201911,1.26,7.84,2.06
201912,6.35,4.66,1.21
202001,-11.99,-1.4,1.17
202002,-15.44,-9.83,-6.16
202003,-34.8,-34.8,-4.43
202004,32.87,13.31,18.64
202005,0.55,6.38,4.26
202006,-0.32,4.35,5.44
